,
An expert’s duty of confidentiality when hired by an NA or a firm,"When an expert is hired by an attorney or firm to represent a client, the client must be informed that 1) the expert does not owe a duty of confidentiality to the client, and 2) the NA or firm is entitled to know anything privy to the expert’s opinion on the client’s matter."
Applicable Law (PR),"Nevada attorneys (NAs) are bound by the Nevada Rules of Professional Conduct (NRCP) which are based in large part off the American Bar Association’s Model Rules of Professional Conduct. Attorneys are self governed, meaning that they regulate themselves and are obligated to report violations to the Nevada State Bar, and be able to testify as to those violations, if necessary."
Conflict of Interest and Duty of Loyalty,"NAs owe a duty of loyalty to all of their clients, past or present. An NA has a conflict of interest (COI) when a current client’s interests are adverse to another of the NAs clients, either present or former, in a matter that is substantially related. When a COI arises, the NA owes a duty to withdraw from representation (see infra/supra) and if the NA is part of a firm the firm is disqualified subject to screening of the NA (see infra/supra). An NA may decide not to withdraw if he is able to 1) adequately represent the client’s interests, 2) without materially limiting the representation of the client, 3) reasonably inform the client of the COI, 4) obtain the written consent of all present and past clients subject to the COI, 5) inform the client about his rights to seek the advice of another NA and 6) give the client a reasonable opportunity to seek another NA about the COI."
Duties arising with 3rd party payminte,A NA may be paid by a third party as long as that party understands that he cannot in anyway influence the NA’s representation of the client.
Duty of a firm to impute disqualification,"If an NA in a firm is disqualified under the NRCP from representing a client, the firm is disqualified as well unless the attorney can be successfully screened. Successful screening requires 1) the NA in question to not receive any confidential information, 2) the NA in question to not receive any proceeds from the matter and 3) proper written notice to the governing agency."
Duty of candor to the court and fairness to opposing counsel,"NAs owe a duty of candor and honesty to the tribunal and a duty to act fairly with opposing counsel. As such, NAs must do their best to expedite the trial, to be honest with all parties, to disclose exculpatory evidence, and to not destroy evidence."
Duty of competency,"A NA has a duty of competence, which means he 1) must have the physical and mental ability, 2) the requisite legal knowledge and 3) the time required to handle the case. An NA who does not meet these three standards can nonetheless take the case if 1) he notifies the client that he needs time to learn the laws governing the matter or 2) he associates with co-counsel."
Duty of Confidentiality,"NAs owe their clients a duty of confidentiality so long as the attorney and client are communicating regarding a legal matter in private and the client has a reasonable expectation of privacy in the matters discussed. The duty is waived if 1) the client is suing the attorney for malpractice, or 2) the client is using the attorney’s services in furtherance of a crime. This duty extends to prospective clients."
Duty to accept court appointed clients,"A NA must accept a court-appointed client unless 1) the matter would cause substantial economic hardship to the NA, 2) the NA would have ethical conflicts arising from the matter or 3) the NA is not physically or mentally capable of the casework."
