,
Adverse Possession,"Adverse possession requires proof that the possession is: 1) open, visible, and notorious; 2) actual, which means in Nevada among other things the adverse possessor pays property taxes ; 3) exclusive; 4) hostile under a claim of right for a continuous period of five years."
Assignment (property),An assignment is created when a tenant transfers all of his rights to the tenancy to a third party.
Covenant,"A covenant is a non-possessory right which can obligate another to either do or not do something with their property or do something with their property. A covenant runs with the land and is enforceable against successors in interest. For a covenant to be enforceable against a third party who was not part of the original covenant but now possesses the land, the party wishing to enforce the covenant via money damages must show 1) there was an intent fort he covenant to run with the land, 2) the covenant touches and concerns the land, 3) the party against whom enforcement is sought had notice and 4) that the defendant who is a successor in interest to the original party who entered into the contract has both, horizontal and vertical privity with the party asserting the claim."
Doctrine of Destructability of Contingent Remainders,"A contingent remainder is destroyed if 1) it fails to vest by the natural termination of the prior estate, 2) the doctrine of merger, or 3) if the holder of the present possessory estate surrenders her interest before the contingent remainder vests."
Doctrine of Equitable Conversion,The Doctrine of Equitable Conversion states that the buyer has equitable title and the seller has legal title after the sale of a contract.
Easement Implied by necessity,An easement implied by necessity is an easement where the is a showing of strict necessity and prior common ownership of the benefited and servant estates
Easement in Gross,"An easement in gross attaches to a right, not adjoining party. This easement does not run with the land."
Easements,"Easements are a non-possessory property interest which gives an individual the right to use the land of another and to prevent that other property owner from restricting their access to the easement. Easements may be in gross or appurtenant and may be created through express grant, implied by prior use of grantor, implied by necessity, or provided by prescription."
Eminent Domain,Eminent domain is a public taking of private property; it requires just compensation paid to the property-owner.
Fixture,A fixture is a chattel that has become so connected to real property that an unbiased 3rd party would deem that chattel to be part of the property
Foreclosure,"Nevada is a lien theory state, which means that a mortgagor holds legal title to the property until foreclosure, and the mortgagee merely hold a lien. This is different from a title theory jurisdiction, where the mortgagee holds title to the property."
Horizontal Privity,A party has horizontal privity with another if the original transferor transfered at least a portion of their estate to a transferee who later transfered it to the defendant.
"If the tenant is successful in a breach of implied warranty of habitability claim,","he is excused from further performance under the lease, which means he can vacate the premises and stop paying rent, and he can sue for money damages "
Implied Warranty of Habitabality,"The implied warranty of habitability states that the landlord will deliver and maintain premises that are safe, clean, and fit for human habitation"
"In a breach of the implied warranty of habitability, a tenant must","show a patent or latent defect in an essential residential facility and give notice to the landlord about the defect, and give the landlord reasonable time to cure the defect"
"In a subleasing rent dispute, the landlord",can only recover rent from anyone with whom he is in privity with. A sublessee is not in privity with the landlord
"In an assignment, the new tenant is liable to the landlord for","rent if there either privity of contract, or when there is in an evidence of an agreement between the landlord and the new tenant, or if there is privity of estate, which exists only between the present landlord and the tenant"
Intent to run with the land,Parties have the requisite intent for a restrictive covenant to run with the land when they intend that the obligation benefit the land and that the obligation must be executed regardless of who owns the land.
Joint Tenancy,"A joint tenancy is a tenancy where each party will have a right of survivorship. A joint tenancy is characterized through the following four unities: 1) time, or whether each interest was granted at the same time; 2) title, or whether each interest was transferred by the same instrument; 3) interest, or whether each interest in the property is equal and 4) possession, which states that each tenant has the right to possess the whole property. Individuals who have a joint tenancy are subject to the following rights and duties: 1) each has the right to possess the entirety of the property; 2) each has the rights to rents and profits made on the property; and 3) if one tenant makes repairs, he can seek contribution if the repairs are necessary."
Life Estate,"If a grantee receives a life estate, he does not have a fee estate, and thus must 1) pay all mortgage interest on the property, 2) make any necessary repairs, 3) pay all taxes, 4) pay all special assessments, and 5) cannot commit waste on the property. A life tenant can commit ameliorative waste if 1) the remainder man’s property value is not decreased by the waste or 2) a change in the neighborhood has caused the property to not realize its full value."
Notice,"A party may acquire notice either by actual, record, or inquiry notice. A party has record notice when the covenant appears in the chain of title."
Notice (for race-notice),"1) Actual notice, 2) Constructive Notice (i.e. tracts), 3) Inquiry Notice (what he should have inquired about)"
Patent v Latent Defects,A patent defect is known to the tenant at the time he came into the lease. A landlord is under no obligation to fix a patent defect. A latent defect is that which is unknown to the tenant but the landlord knew or should have reasonably known about. A landlord has a duty to warn the tenant about latent defects.
Periodic Tenancy,"A periodic tenancy is a tenancy with a specific start date, but no specific end date. A periodic tenant will continue in cycles of time based upon the tenant’s rent payment schedule; for example, if a tenant pays rent every month, the periodic tenancy will continue from month-to-month. Proper notice for a termination of a periodic tenancy is the length of the tenancy, with a maximum of six months. If no proper notice is given and the tenant decides to vacate the premises, the landlord is entitled to seek the rent he is entitled to."
Rule Against Perpetuities,"states that a non-vested property interest is invalid if either the interest fails to vest within 21 years of a life in being, or if vesting or termination does not occur within 365 years."
Rule in Dumpor’s Case,The Rule in Dumpor’s Case states that a landlord who fails to object to a first assignment cannot thereafter object to subsequent assignments.
Sublease,"A sublease is created when a tenant transfers some, but not all, of his rights to a third party"
Tenancy at Will (TaW),"A TaW occurs when there is no set duration for the tenancy; the tenant and the landlord make an agreement that the tenant may live on the property indefinitely. A TaW may be based on service; the tenant may live on the property as long as he or she provides services for the building. A TaW may be destroyed by 1) death/incapacity of the landlord, 2) notice by either the tenant or the landlord, or 3) any attempt to transfer the interest by tenant or landlord."
Tenancy for a Term of Years,A tenancy for a term of years is a tenancy with a definite start and end date.
Touch and Concern,"A restrictive covenant touches and concerns the land when it benefits the dominant estate, that is, the estate which is to obtain the benefit of the covenant."
Trade Fixture,A trade fixture is chattel affixed by a tenant to his rented property to advance his business or trade during his tenancy
Vertical Privity,Vertical Privity requires that the defendant in the restrictive covenant suit take the complete estate from the transferor who transfered the property to them.
